Row;GTIN;Name;Last updated;GTIN Label
1386;7350050910112;Wadstens Kött & Chark AB;Last updated: 2016-08-25;(GLN: 7350050910006, GCP: 735 005091)
1387;7350050910150;Wadstens Kött & Chark AB;Last updated: 2016-08-25;(GLN: 7350050910006, GCP: 735 005091)
1388;7350050910174;Wadstens Kött & Chark AB;Last updated: 2016-08-25;(GLN: 7350050910006, GCP: 735 005091)
1389;7350050910273;Wadstens Kött & Chark AB;Last updated: 2016-08-25;(GLN: 7350050910006, GCP: 735 005091)
1390;7350050910310;Wadstens Kött & Chark AB;Last updated: 2016-08-25;(GLN: 7350050910006, GCP: 735 005091)
1391;7350050910341;Wadstens Kött & Chark AB;Last updated: 2016-08-25;(GLN: 7350050910006, GCP: 735 005091)
1392;7350050910365;Wadstens Kött & Chark AB;Last updated: 2016-08-25;(GLN: 7350050910006, GCP: 735 005091)
1393;7350050910372;Wadstens Kött & Chark AB;Last updated: 2016-08-25;(GLN: 7350050910006, GCP: 735 005091)
1394;7350050972400;Revendito AB;Last updated: 2016-07-26;(GLN: 7350050970000, GCP: 735 005097)
1395;7350050972424;Revendito AB;Last updated: 2016-07-26;(GLN: 7350050970000, GCP: 735 005097)
1396;7350054103619;;Broken at gs1.se;()
1397;7350054103626;;Broken at gs1.se;()
1398;7350054103640;;Broken at gs1.se;()
1399;7350054103657;;Broken at gs1.se;()
1400;7350054103664;;Broken at gs1.se;()
1401;7350054103800;;Broken at gs1.se;()
1402;7350054103817;;Broken at gs1.se;()
1403;7350054103824;;Broken at gs1.se;()
1404;7350054103831;;Broken at gs1.se;()
1405;7350054103848;;Broken at gs1.se;()
1406;7350054105019;;Broken at gs1.se;()
1407;7350054105026;;Broken at gs1.se;()
1408;7350054105033;;Broken at gs1.se;()
1409;7350054105040;;Broken at gs1.se;()
1410;7350054105057;;Broken at gs1.se;()
1411;7350054105064;;Broken at gs1.se;()
1412;7350054105071;;Broken at gs1.se;()
1413;7350054105088;;Broken at gs1.se;()
1414;7350054105095;;Broken at gs1.se;()
1415;7350054105101;;Broken at gs1.se;()
1416;7350054105118;;Broken at gs1.se;()
1417;7350054105125;;Broken at gs1.se;()
1418;7350054105132;;Broken at gs1.se;()
1419;7350054105149;;Broken at gs1.se;()
1420;7350054105163;;Broken at gs1.se;()
1421;7350054105170;;Broken at gs1.se;()
1422;7350054105187;;Broken at gs1.se;()
1423;7350054105194;;Broken at gs1.se;()
1424;7350054105217;;Broken at gs1.se;()
1425;7350054105224;;Broken at gs1.se;()
1426;7350054105231;;Broken at gs1.se;()
1427;7350054105248;;Broken at gs1.se;()
1428;7350054105286;;Broken at gs1.se;()
1429;7350054105293;;Broken at gs1.se;()
1430;7350054105309;;Broken at gs1.se;()
1431;7350054105316;;Broken at gs1.se;()
1432;7350054105323;;Broken at gs1.se;()
1433;7350054105378;;Broken at gs1.se;()
1434;7350054105385;;Broken at gs1.se;()
1435;7350054105392;;Broken at gs1.se;()
1436;7350054105422;;Broken at gs1.se;()
1437;7350054105439;;Broken at gs1.se;()
1438;7350054105446;;Broken at gs1.se;()
1439;7350054105453;;Broken at gs1.se;()
1440;7350054105460;;Broken at gs1.se;()
1441;7350054105477;;Broken at gs1.se;()
1442;7350054106009;;Broken at gs1.se;()
1443;7350054106023;;Broken at gs1.se;()
1444;7350054106030;;Broken at gs1.se;()
1445;7350054106054;;Broken at gs1.se;()
1446;7350054106078;;Broken at gs1.se;()
1447;7350054106085;;Broken at gs1.se;()
1448;7350054106092;;Broken at gs1.se;()
1449;7350054106108;;Broken at gs1.se;()
1450;7350054106115;;Broken at gs1.se;()
1451;7350054106122;;Broken at gs1.se;()
1452;7350054106139;;Broken at gs1.se;()
1453;7350054106214;;Broken at gs1.se;()
1454;7350054106221;;Broken at gs1.se;()
1455;7350054107204;;Broken at gs1.se;()
1456;7350054107242;;Broken at gs1.se;()
1457;7350054107266;;Broken at gs1.se;()
1458;7350054107273;;Broken at gs1.se;()
1459;7350054107280;;Broken at gs1.se;()
1460;7350054107990;;Broken at gs1.se;()
1461;7350054108010;;Broken at gs1.se;()
1462;7350054108034;;Broken at gs1.se;()
1463;7350054108041;;Broken at gs1.se;()
1464;7350054108058;;Broken at gs1.se;()
1465;7350054108089;;Broken at gs1.se;()
1466;7350054108096;;Broken at gs1.se;()
1467;7350054108102;;Broken at gs1.se;()
1468;7350054108126;;Broken at gs1.se;()
1469;7350054108133;;Broken at gs1.se;()
1470;7350054108140;;Broken at gs1.se;()
1471;7350054108157;;Broken at gs1.se;()
1472;7350054108164;;Broken at gs1.se;()
1473;7350054108171;;Broken at gs1.se;()
1474;7350054108195;;Broken at gs1.se;()
1475;7350054108249;;Broken at gs1.se;()
1476;7350054108256;;Broken at gs1.se;()
1477;7350054108799;;Broken at gs1.se;()
1478;7350054108812;;Broken at gs1.se;()
1479;7350054108829;;Broken at gs1.se;()
1480;7350054108980;;Broken at gs1.se;()
1481;7350054109062;;Broken at gs1.se;()
1482;7350056301006;Lilla Kafferosteriet Produktioner AB;Last updated: 2015-12-09;(GLN: 7350056300009, GCP: 735 005630)
1483;7350056302003;Lilla Kafferosteriet Produktioner AB;Last updated: 2015-12-09;(GLN: 7350056300009, GCP: 735 005630)
1484;7350056303000;Lilla Kafferosteriet Produktioner AB;Last updated: 2015-12-09;(GLN: 7350056300009, GCP: 735 005630)
1485;7350056650012;Lilla Fågelfröfabriken från Hisingen HB;Last updated: 2015-11-23;(GLN: 7350056650005, GCP: 735 005665)
1486;7350057110010;Not found;-;-
1487;7350057920503;Macarong AB;Last updated: 2016-09-12;(GLN: 7350057920008, GCP: 735 005792)
1488;7350057920510;Macarong AB;Last updated: 2016-09-12;(GLN: 7350057920008, GCP: 735 005792)
1489;7350058540021;Not found;-;-
1490;7350058540991;Not found;-;-
1491;7350059830015;Not found;-;-
1492;7350060700826;People´s Kitchen Concept AB;Last updated: 2016-06-28;(GLN: 7350060700000, GCP: 735 006070)
1493;7350060700833;People´s Kitchen Concept AB;Last updated: 2016-06-28;(GLN: 7350060700000, GCP: 735 006070)
1494;7350060701083;People´s Kitchen Concept AB;Last updated: 2016-06-28;(GLN: 7350060700000, GCP: 735 006070)
1495;7350060701090;People´s Kitchen Concept AB;Last updated: 2016-06-28;(GLN: 7350060700000, GCP: 735 006070)
1496;7350061081016;Ankarsrum Kitchen AB;Last updated: 2016-09-03;(GLN: 7350061080002, GCP: 735 006108)
1497;7350061550017;Not found;-;-
1498;7350062400946;Not found;-;-
1499;7350063824444;Not found;-;-
1500;7350063825557;Not found;-;-
1501;7350063826660;Not found;-;-
1502;7350063860152;Mattias Sjöbäck;Last updated: 2016-09-12;(GLN: 7350063860008, GCP: 735 006386)
1503;7350063860169;Mattias Sjöbäck;Last updated: 2016-09-12;(GLN: 7350063860008, GCP: 735 006386)
1504;7350063860176;Mattias Sjöbäck;Last updated: 2016-09-12;(GLN: 7350063860008, GCP: 735 006386)
1505;7350063970011;Not found;-;-
1506;7350063970028;Not found;-;-
1507;7350063970042;Not found;-;-
1508;7350063970073;Not found;-;-
1509;7350063970127;Not found;-;-
1510;7350065133322;Not found;-;-
